21.691, -12.223, -7.6778, 26.055, 30.149, 27.176, -27.178, 48.848,
-8.1957, -7.3859, -3.0376, 11.443, 19.244, -7.2294, 28.897, 35.463,
2.8428, -2.3513, 0.13646, 3.6917, 7.6949, 18.795, 25.084, 32.275,
28.192, 0.74774, 4.8632, 28.618, 88.0718, 1.5359, 0.037766, 8.2167,
6.898, -19.743, -36.677, 42.221, 1.336, 1.3785, -0.93809, 2.1367,
-26.931, -0.062688, 21.151, 34.244, 1.5524, 4.9809, 9.0425, 10.44,
9.9862, -15.769, -11.921, 22.147, 9.9862, -15.769, -11.921, 22.147,
-6.3636, -6.1292, 4.7521, 10.032, -1.4069, -1.5201, -3.0108, 3.6544,
-10.007, 18.829, 6.3049, 22.236, 2.4327, -2.479, 4.074, 5.3536,
32.456, -24.36, 7.6178, 41.29, -17.126, 1.8017, 16.718, 24.001
